AUC score: 0.84
         2021701 function calls (1934021 primitive calls) in 3.729 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1466/1    0.021    0.000    3.737    3.737 {built-in method builtins.exec}
        1    0.001    0.001    3.737    3.737 example.py:1(<module>)
139917/69797    0.141    0.000    2.287    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      101    0.005    0.000    2.199    0.022 __init__.py:1(<module>)
        1    0.006    0.006    1.925    1.925 Reconstruction.py:40(reconstruct)
      324    0.005    0.000    1.856    0.006 Reconstruction.py:98(__getDifference)
      324    0.001    0.000    1.832    0.006 <__array_function__ internals>:2(pinv)
      324    0.055    0.000    1.830    0.006 linalg.py:1915(pinv)
      324    0.001    0.000    1.756    0.005 <__array_function__ internals>:2(svd)
      324    1.749    0.005    1.754    0.005 linalg.py:1482(svd)
   1102/5    0.005    0.000    1.038    0.208 <frozen importlib._bootstrap>:1002(_find_and_load)
   1097/5    0.004    0.000    1.037    0.207 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
   1054/6    0.005    0.000    1.037    0.173 <frozen importlib._bootstrap>:659(_load_unlocked)
    917/6    0.002    0.000    1.036    0.173 <frozen importlib._bootstrap_external>:844(exec_module)
   1410/6    0.001    0.000    0.985    0.164 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
   534/66    0.002    0.000    0.782    0.012 {built-in method builtins.__import__}
        1    0.197    0.197    0.616    0.616 Basis.py:88(expand)
 1346/708    0.002    0.000    0.575    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
    67824    0.035    0.000    0.425    0.000 <__array_function__ internals>:2(norm)
    67824    0.183    0.000    0.350    0.000 linalg.py:2363(norm)
        1    0.000    0.000    0.342    0.342 Evaluation.py:1(<module>)
        4    0.000    0.000    0.324    0.081 base.py:1(<module>)
        1    0.000    0.000    0.321    0.321 class_weight.py:5(<module>)
        1    0.000    0.000    0.321    0.321 validation.py:1(<module>)
        1    0.000    0.000    0.276    0.276 fixes.py:1(<module>)
      917    0.007    0.000    0.249    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        1    0.000    0.000    0.226    0.226 Common.py:1(<module>)
        1    0.000    0.000    0.165    0.165 pyplot.py:4(<module>)
        1    0.000    0.000    0.139    0.139 Network.py:1(<module>)
        1    0.000    0.000    0.135    0.135 stats.py:19(<module>)
    68472    0.033    0.000    0.132    0.000 <__array_function__ internals>:2(dot)
      917    0.003    0.000    0.125    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
        1    0.000    0.000    0.121    0.121 distributions.py:8(<module>)
        3    0.000    0.000    0.119    0.040 npyio.py:771(loadtxt)
      917    0.109    0.000    0.109    0.000 {built-in method io.open_code}
        3    0.000    0.000    0.106    0.035 _datasource.py:155(open)
        3    0.000    0.000    0.106    0.035 _datasource.py:487(open)
     5087    0.104    0.000    0.104    0.000 {built-in method posix.stat}
      917    0.002    0.000    0.099    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        1    0.000    0.000    0.099    0.099 _continuous_distns.py:6(<module>)
2114/1983    0.029    0.000    0.098    0.000 {built-in method builtins.__build_class__}
      917    0.095    0.000    0.095    0.000 {built-in method marshal.loads}
      105    0.002    0.000    0.088    0.001 _distn_infrastructure.py:1689(__init__)
      140    0.000    0.000    0.086    0.001 genericpath.py:16(exists)
     2389    0.003    0.000    0.081    0.000 re.py:289(_compile)
        3    0.000    0.000    0.080    0.027 _datasource.py:344(_findfile)
        3    0.000    0.000    0.080    0.027 _datasource.py:431(exists)
      219    0.001    0.000    0.075    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.074    0.074 colorbar.py:1(<module>)
1054/1046    0.002    0.000    0.071    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     1082    0.007    0.000    0.068    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        2    0.000    0.000    0.066    0.033 __init__.py:3225(_call_aside)
        1    0.000    0.000    0.066    0.066 __init__.py:3242(_initialize_master_working_set)
      184    0.000    0.000    0.064    0.000 re.py:250(compile)
       11    0.000    0.000    0.064    0.006 artist.py:1692(kwdoc)
        1    0.000    0.000    0.064    0.064 figure.py:1(<module>)
2641/2098    0.010    0.000    0.059    0.000 inspect.py:2244(_signature_from_callable)
      375    0.022    0.000    0.058    0.000 doccer.py:10(docformat)
       12    0.000    0.000    0.058    0.005 __init__.py:596(add_entry)
     1964    0.001    0.000    0.058    0.000 inspect.py:3109(signature)
      228    0.000    0.000    0.056    0.000 __init__.py:2032(find_on_path)
     1964    0.001    0.000    0.056    0.000 inspect.py:2857(from_callable)
     1078    0.001    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
      124    0.001    0.000    0.056    0.000 _distn_infrastructure.py:794(_construct_doc)
1079/1078    0.004    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      316    0.001    0.000    0.053    0.000 overrides.py:183(decorator)
        1    0.000    0.000    0.052    0.052 intersection.py:1(<module>)
     1482    0.012    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
       11    0.001    0.000    0.048    0.004 artist.py:1452(pprint_setters)
      219    0.001    0.000    0.045    0.000 sre_parse.py:937(parse)
        1    0.000    0.000    0.045    0.045 rcsetup.py:1(<module>)
        1    0.000    0.000    0.044    0.044 _subplots.py:1(<module>)
  649/219    0.003    0.000    0.044    0.000 sre_parse.py:435(_parse_sub)
  996/228    0.017    0.000    0.043    0.000 sre_parse.py:493(_parse)
       61    0.042    0.001    0.042    0.001 {built-in method io.open}
     1994    0.014    0.000    0.040    0.000 inspect.py:2150(_signature_from_function)
     2770    0.023    0.000    0.038    0.000 inspect.py:626(cleandoc)
        1    0.000    0.000    0.038    0.038 Model.py:1(<module>)
        1    0.000    0.000    0.036    0.036 contour.py:1(<module>)
        1    0.000    0.000    0.035    0.035 requirements.py:4(<module>)
        1    0.000    0.000    0.035    0.035 collections.py:1(<module>)
        1    0.000    0.000    0.034    0.034 __init__.py:554(_build_master)
        1    0.000    0.000    0.034    0.034 __init__.py:541(__init__)
        1    0.000    0.000    0.032    0.032 community.py:1(<module>)
  129/127    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1171(create_module)
  129/127    0.028    0.000    0.031    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.031    0.031 _bvp.py:1(<module>)
        1    0.000    0.000    0.031    0.031 parallel.py:1(<module>)
      348    0.001    0.000    0.031    0.000 <__array_function__ internals>:2(std)
       28    0.003    0.000    0.030    0.001 __init__.py:709(_rc_params_in_file)
     2349    0.002    0.000    0.030    0.000 inspect.py:607(getdoc)
      348    0.002    0.000    0.029    0.000 fromnumeric.py:3449(std)
        1    0.000    0.000    0.029    0.029 _parallel_backends.py:1(<module>)
      219    0.000    0.000    0.028    0.000 sre_compile.py:598(_code)
      468    0.001    0.000    0.028    0.000 {built-in method builtins.sorted}
      348    0.003    0.000    0.027    0.000 _methods.py:260(_std)
       10    0.000    0.000    0.027    0.003 __init__.py:2006(_by_version_descending)
        1    0.000    0.000    0.027    0.027 pool.py:1(<module>)
        1    0.000    0.000    0.027    0.027 text.py:1(<module>)
        1    0.000    0.000    0.027    0.027 _axes.py:1(<module>)
        1    0.000    0.000    0.026    0.026 _memmapping_reducer.py:1(<module>)
     1252    0.001    0.000    0.026    0.000 __init__.py:574(__setitem__)
      329    0.026    0.000    0.026    0.000 {built-in method builtins.compile}
      372    0.001    0.000    0.025    0.000 <__array_function__ internals>:2(vstack)
      347    0.001    0.000    0.025    0.000 Reconstruction.py:85(__getNewApprox)
      348    0.014    0.000    0.025    0.000 _methods.py:195(_var)
      429    0.001    0.000    0.024    0.000 artist.py:1356(get_valid_values)
        1    0.000    0.000    0.024    0.024 multiarray.py:1(<module>)
 1742/219    0.009    0.000    0.024    0.000 sre_compile.py:71(_compile)
       12    0.002    0.000    0.024    0.002 artist.py:1403(get_setters)
      372    0.002    0.000    0.023    0.000 shape_base.py:222(vstack)
        3    0.000    0.000    0.022    0.007 core.py:1(<module>)
     1755    0.001    0.000    0.022    0.000 artist.py:1422(is_alias)
      379    0.003    0.000    0.022    0.000 _util.py:349(getfullargspec_no_self)
        1    0.000    0.000    0.022    0.022 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.022    0.022 npyio.py:284(load)
     1054    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        1    0.000    0.000    0.021    0.021 numeric.py:1(<module>)
        1    0.000    0.000    0.021    0.021 overrides.py:1(<module>)
        1    0.000    0.000    0.020    0.020 platform.py:3(<module>)
  129/113    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
    68472    0.013    0.000    0.020    0.000 linalg.py:112(isComplexType)
